time,signal,exog1,exog2
1,0.23545155301560267,-0.09622729557169118,1.1385662654293982
2,0.3675271073820117,0.2825404396098519,0.9081703933284472
3,0.5253993389251881,0.24111610550286003,1.0350168931200034
4,0.5389613499796889,0.037573184055821274,0.9583315575150314
5,0.47940821242075904,0.24040465900087177,1.1431496957842098
6,0.4913609584732606,0.6371338228732232,1.0368726462008317
7,0.5749919556740521,0.08590999404703858,1.2338179812057906
8,0.5863664455013982,0.44406965660287456,0.8660252563180919
9,0.7637131939552254,0.7545329122008655,1.042457676853234
10,0.7320890023271571,0.4883587427299717,0.9945934474195007
11,0.7097003818922635,0.567516917507158,1.0180184261790688
12,0.8229263622194242,0.7031497455589891,1.1708470297188598
13,1.0312682898489143,0.9858837168324829,1.04388889002589
14,1.0065147010763833,0.7077729641917135,0.8296696638061141
15,1.0722876306731726,0.7748736908609867,1.0245289201130938
16,0.9205497858663902,0.810442528467248,0.9031866688641951
17,0.9285074804672493,1.2367188740061996,0.8882361365455389
18,1.0664156998482914,1.2600569993132944,1.061949981716681
19,1.2661705310170528,1.1047160330747148,0.8550119236600208
20,1.2173896033423934,1.029865861239541,0.8720149225807565
21,1.0292761890302944,1.0960550163728964,0.9112128121514057
22,1.043734329135349,1.2181932081576763,1.0100668296689523
23,1.0220972350454893,0.8589232638689406,0.9549830787639969
24,0.9836548307840723,1.1759479597588207,0.8452058254795338
25,0.9719821756646254,0.8073258575894131,0.8283019436227308
26,0.8979933859681405,0.8911571900151192,0.7088682391650325
27,0.8785246230266509,1.1099134102482404,0.7435267405013273
28,0.9129776361026224,0.7422466324504713,0.7423164569860293
29,0.7167365078837733,0.9139897826726578,0.7885845089564717
30,0.6420088184206528,0.7800341924467289,1.0301004333341202
31,0.5957924387862561,0.8412120320379722,0.6953647020015596
32,0.47660333371254776,0.4261163971468372,0.7252072211984887
33,0.3985158846272015,0.542766438143113,0.4982691570266473
34,0.5071724725098601,0.662514472794367,0.800051677202243
35,0.608042011472609,0.8622052465021119,0.5217030029040843
36,0.5658692376314214,0.6494178281326186,0.5848192256109416
37,0.3617578420451321,0.6252664198771107,0.8009148365950317
38,0.26328758576711475,0.6746732549005902,0.4050916779144081
39,0.23280028503467098,0.38357092037010637,0.6506785030367701
40,0.21908284916493967,0.4998167252069056,0.7164138634679549
41,0.2373246789392915,0.27620733355590754,0.7841521952062032
42,-0.014000477775646947,0.07583772603781402,0.47115987487297334
43,-0.08655288858776856,0.2128407350990174,0.48684926121300504
44,-0.1024484041636688,0.2928280256516423,0.7581284802338895
45,-0.12016557330104549,0.19190836570983744,0.5181692994488745
46,-0.2931470960829521,0.07308132788310424,0.4121357687717968
47,-0.33819907377769975,0.36711401624396317,0.39344477313906867
48,-0.4148220998220806,0.003562680618736734,0.3416509956485777
49,-0.44485941098084514,0.022062232244703203,0.3841853088849981
50,-0.25079448342631894,0.14515353789920754,0.54590881956919
51,-0.30700314065198575,-0.4496539005010185,0.5000336132709247
52,-0.5332448333813047,-0.4751971550591668,0.23058639228554606
53,-0.5380352903130078,-0.12024097502797176,0.37507912311114644
54,-0.7486220307452168,-0.5622298535810119,0.27874751888433935
55,-0.7278805535884009,-0.49682456404284525,0.3984405564815202
56,-0.6503447428828171,-0.3974091854996299,0.26320397563272513
57,-0.5439556365751714,-0.4782519322487433,0.30386331569582337
58,-0.5573076338486286,-0.3999579122950838,0.21747014453234673
59,-0.6200008996161148,-0.48723074435457603,-0.04880043713002519
60,-0.6482010052051522,-0.5963935948520677,0.19637749511194025
61,-0.7306790388122361,-0.9145716117784066,0.01517068639678687
62,-0.82685645518038,-0.7177504047102089,0.2344502372043134
63,-0.8172774651265688,-0.8244349732375581,0.0402169920873372
64,-0.6876467766399871,-1.1012393233195363,0.026198958969952446
65,-0.5662252566317153,-0.7164196442992341,0.07475452597158737
66,-0.5464854178331948,-0.830516593702731,0.12221438570019182
67,-0.6102195770530617,-0.9631383580541079,0.009615547257581035
68,-0.5661565985819023,-1.0189761303191176,0.2042174383498778
69,-0.6678508854981406,-1.1734361753385825,0.18226487300863636
70,-0.7176978882726304,-0.9690263060641334,0.16761017541090678
71,-0.6270878657325905,-0.929514807140642,-0.0889056898937543
72,-0.5259663104410912,-1.1208378564723325,-0.2610371094254297
73,-0.39510902792830865,-0.813792176521994,0.04093466918255745
74,-0.33156912175027575,-1.140271385391798,-0.17755168106048608
75,-0.3676123676861844,-1.2773893271695047,-0.14495354874933322
76,-0.2892671196689904,-0.781938249850202,-0.09589115452088295
77,-0.1810348144428866,-0.9732083691512058,-0.38537595014319104
78,-0.06433318140462413,-0.9023590935171054,-0.018686286711387196
79,-0.11797933998074286,-0.9759083453225608,-0.130291250158816
80,-0.24710939325680148,-1.0542238056751905,-0.2138742466985657
81,-0.16702357754047711,-0.5844788813473544,-0.1698368551589513
82,-0.07136261645521917,-0.8320966941397241,-0.23023838665743107
83,0.04580543728780388,-0.4323875702445937,-0.30309098824519587
84,0.25371699263325276,-0.5101704099407123,-0.37377902325720475
85,0.06952135850431418,-0.6254119637519279,-0.44496340762699893
86,0.07996407844255919,-0.6854463874476807,-0.3408919517718668
87,0.07726078598723732,-0.5744714774218259,-0.35076254835997195
88,0.1898743472806294,-0.586457667301926,-0.28251726093276197
89,0.38345520934213767,-0.029691748031369425,-0.40644832389006846
90,0.3556144172588494,-0.25474931366445214,-0.5505578046164065
91,0.4192547108462239,-0.042300026262670404,-0.6545750741304373
92,0.3669781335352675,-0.33939457420883956,-0.4975834807210158
93,0.3887028007455681,-0.05593413337794581,-0.5020035144944793
94,0.43307896163530957,0.16016140152592523,-0.5264840667087859
95,0.4839077224952225,-0.00012460440777965764,-0.7139400191393666
96,0.549818864589213,0.27121637368875495,-0.41645789867698446
97,0.6341848282961853,0.01976840837406943,-0.4313325430087337
98,0.612307389026677,0.04302664922978888,-0.6730254738010463
99,0.6045737074040141,0.36845145532509826,-0.4912151726814988
100,0.3651362988140684,0.31727476538533717,-0.4868039121295349
101,0.3024670846990102,0.5314070224573056,-0.6092398671386208
102,0.40970412587601773,0.19743016141054082,-0.7398733703785113
103,0.4720633962996651,0.6577723324276923,-0.4441290134626647
104,0.5719471353366983,0.9950498294184218,-0.6031781813162802
105,0.4457176040850756,0.6532927015040669,-0.6896316760914295
106,0.45172481655848595,0.7108714173064979,-0.5768407483975369
107,0.5126726377922396,0.77831051437143,-0.4844412315728845
108,0.2612772727646797,0.514371507230385,-0.7477313596197251
109,0.20918317426832073,0.8963535255036323,-0.6135023128284629
110,0.09306407010800066,0.6266854080164113,-0.4711231581454986
111,0.1585123800134149,0.8345561560930562,-0.845541860214603
112,0.09754433768322027,1.1123569753771447,-0.7841327713160257
113,0.0708939695237514,0.8387487414999469,-0.7960443526097787
114,0.15546672682951426,1.0431070204665964,-0.7487864939989968
115,0.31783027684027926,1.1344186450798288,-0.7598709946274197
116,0.21502310195663193,1.034541946137353,-0.7028627124255445
117,0.10710288130955405,0.7929010748604138,-0.8410804291468673
118,-0.00655523898846061,0.9500482547489165,-0.8204218216641613
119,0.009266465880144795,1.2907650069298287,-0.7120006492672123
120,-0.15165281375826817,0.6856013821737612,-0.7314030734324002
121,-0.22026845115693328,0.9360997661644753,-0.6463211956718172
122,-0.145027049011132,0.8784181871563781,-0.7026857215479844
123,-0.1546179578049164,0.9588426611443439,-0.6591619322519131
124,-0.20898581022826473,1.0282795816599533,-0.8882893950182595
125,-0.2985213899024849,1.1285977532980025,-0.7958723024155805
126,-0.3623924509760967,0.8140640492869067,-0.5261590643653286
127,-0.19667709859122245,0.9399580967478917,-0.6983926609135072
128,-0.28730509403251603,0.8529412239683103,-0.6526076204091951
129,-0.2796073490523194,0.8055491925548833,-0.7057954548912894
130,-0.4504711846726781,0.6029626253840908,-0.6830893732490919
